Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
152,Camarillo,Central Coast Valleys,11/7/2017,1700,311,0.05, ,0.00, ,19, ,1.3, ,18.8, ,60, ,10.8, ,1.9, ,198, ,18.1, 
152,Camarillo,Central Coast Valleys,11/7/2017,1800,311,0.01, ,0.00, ,0, ,1.4, ,17.1, ,72, ,12.1, ,1.5, ,206, ,17.7, 
152,Camarillo,Central Coast Valleys,11/7/2017,1900,311,0.00, ,0.00, ,0, ,1.4, ,15.6, ,78, ,11.7, ,0.7, ,44, ,17.2, 
152,Camarillo,Central Coast Valleys,11/7/2017,2000,311,0.00, ,0.00, ,0, ,1.3, ,13.8, ,85, ,11.3, ,0.5, ,30, ,16.8, 
152,Camarillo,Central Coast Valleys,11/7/2017,2100,311,0.00, ,0.00, ,0, ,1.2, ,12.7, ,83, ,9.9, ,0.8, ,30, ,16.4, 
152,Camarillo,Central Coast Valleys,11/7/2017,2200,311,0.00, ,0.00, ,0, ,1.2, ,13.0, ,80, ,9.7, ,1.4, ,32, ,16.0, 
152,Camarillo,Central Coast Valleys,11/7/2017,2300,311,0.00, ,0.00, ,0, ,1.2, ,12.2, ,87, ,10.2, ,1.2, ,17, ,15.6, 
152,Camarillo,Central Coast Valleys,11/7/2017,2400,311,0.00, ,0.00, ,0, ,1.2, ,10.8, ,93, ,9.7, ,0.8, ,166, ,15.3, 
152,Camarillo,Central Coast Valleys,11/8/2017,0100,312,0.00, ,0.00, ,0, ,1.1, ,9.9, ,94, ,9.0, ,0.7, ,20, ,15.0, 
152,Camarillo,Central Coast Valleys,11/8/2017,0200,312,0.00, ,0.00, ,0, ,1.1, ,9.3, ,94, ,8.4, ,0.8, ,23, ,14.8, 
152,Camarillo,Central Coast Valleys,11/8/2017,0300,312,0.00, ,0.00, ,0, ,1.1, ,9.0, ,92, ,7.8, ,0.9, ,25, ,14.6, 
152,Camarillo,Central Coast Valleys,11/8/2017,0400,312,0.00, ,0.00, ,0, ,1.1, ,9.0, ,92, ,7.7, ,1.0, ,26, ,14.3, 
152,Camarillo,Central Coast Valleys,11/8/2017,0500,312,0.00, ,0.00, ,0, ,1.1, ,9.2, ,91, ,7.8, ,1.4, ,25, ,14.0, 
152,Camarillo,Central Coast Valleys,11/8/2017,0600,312,0.00, ,0.00, ,0, ,1.1, ,9.2, ,93, ,8.1, ,0.9, ,26, ,13.8, 
152,Camarillo,Central Coast Valleys,11/8/2017,0700,312,0.00, ,0.00, ,7, ,1.1, ,9.6, ,91, ,8.3, ,1.1, ,38, ,13.5, 
152,Camarillo,Central Coast Valleys,11/8/2017,0800,312,0.01, ,0.00, ,38, ,1.2, ,11.9, ,84, ,9.2, ,1.3, ,47, ,13.3, 
152,Camarillo,Central Coast Valleys,11/8/2017,0900,312,0.14, ,0.00, ,284, ,1.3, ,16.9, ,65, ,10.3, ,1.0, ,63, ,13.3, 
152,Camarillo,Central Coast Valleys,11/8/2017,1000,312,0.27, ,0.00, ,454, ,1.3, ,20.0, ,57, ,11.3, ,1.2, ,191, ,13.7, 
152,Camarillo,Central Coast Valleys,11/8/2017,1100,312,0.35, ,0.00, ,542, ,1.4, ,21.3, ,57, ,12.4, ,1.9, ,194, ,14.7, 
152,Camarillo,Central Coast Valleys,11/8/2017,1200,312,0.37, ,0.00, ,540, ,1.5, ,22.4, ,56, ,13.2, ,2.4, ,213, ,16.0, 
152,Camarillo,Central Coast Valleys,11/8/2017,1300,312,0.39, ,0.00, ,554, ,1.5, ,21.3, ,58, ,12.6, ,3.4, ,205, ,17.1, 
152,Camarillo,Central Coast Valleys,11/8/2017,1400,312,0.33, ,0.00, ,486, ,1.5, ,21.4, ,59, ,13.0, ,3.1, ,186, ,17.9, 
152,Camarillo,Central Coast Valleys,11/8/2017,1500,312,0.22, ,0.00, ,340, ,1.5, ,21.1, ,62, ,13.5, ,2.9, ,207, ,18.5, 
152,Camarillo,Central Coast Valleys,11/8/2017,1600,312,0.12, ,0.00, ,202, ,1.6, ,20.3, ,66, ,13.7, ,2.4, ,196, ,18.8, 
152,Camarillo,Central Coast Valleys,11/8/2017,1700,312,0.02, ,0.00, ,19, ,1.6, ,18.7, ,72, ,13.5, ,2.2, ,192, ,18.6, 
152,Camarillo,Central Coast Valleys,11/8/2017,1800,312,0.00, ,0.00, ,0, ,1.5, ,17.4, ,76, ,13.2, ,0.8, ,213, ,18.1, 
152,Camarillo,Central Coast Valleys,11/8/2017,1900,312,0.00, ,0.00, ,0, ,1.5, ,16.4, ,82, ,13.3, ,0.7, ,229, ,17.6, 
152,Camarillo,Central Coast Valleys,11/8/2017,2000,312,0.00, ,0.00, ,0, ,1.5, ,15.4, ,88, ,13.4, ,0.6, ,17, ,17.1, 
152,Camarillo,Central Coast Valleys,11/8/2017,2100,312,0.00, ,0.00, ,0, ,1.5, ,14.3, ,91, ,12.9, ,0.8, ,43, ,16.7, 
152,Camarillo,Central Coast Valleys,11/8/2017,2200,312,0.00, ,0.00, ,0, ,1.5, ,14.9, ,89, ,13.1, ,0.7, ,49, ,16.4, 
152,Camarillo,Central Coast Valleys,11/8/2017,2300,312,0.00, ,0.00, ,0, ,1.5, ,15.3, ,88, ,13.2, ,0.7, ,37, ,16.2, 
152,Camarillo,Central Coast Valleys,11/8/2017,2400,312,0.00, ,0.00, ,0, ,1.5, ,15.1, ,89, ,13.3, ,0.5, ,49, ,16.1, 
152,Camarillo,Central Coast Valleys,11/9/2017,0100,313,0.00, ,0.00, ,0, ,1.5, ,13.6, ,94, ,12.6, ,0.5, ,26, ,16.0, 
152,Camarillo,Central Coast Valleys,11/9/2017,0200,313,0.00, ,0.00, ,0, ,1.4, ,12.8, ,97, ,12.3, ,0.5, ,354, ,15.7, 
152,Camarillo,Central Coast Valleys,11/9/2017,0300,313,0.00, ,0.00, ,0, ,1.5, ,13.7, ,96, ,13.1, ,0.6, ,20, ,15.5, 
152,Camarillo,Central Coast Valleys,11/9/2017,0400,313,0.00, ,0.00, ,0, ,1.5, ,14.0, ,95, ,13.2, ,0.5, ,2, ,15.4, 
152,Camarillo,Central Coast Valleys,11/9/2017,0500,313,0.00, ,0.00, ,0, ,1.5, ,13.2, ,96, ,12.6, ,0.5, ,346, ,15.4, 
152,Camarillo,Central Coast Valleys,11/9/2017,0600,313,0.00, ,0.00, ,0, ,1.4, ,12.9, ,97, ,12.4, ,0.5, ,21, ,15.2, 
152,Camarillo,Central Coast Valleys,11/9/2017,0700,313,0.00, ,0.00, ,8, ,1.4, ,12.6, ,97, ,12.1, ,0.7, ,13, ,15.0, 
152,Camarillo,Central Coast Valleys,11/9/2017,0800,313,0.00, ,0.00, ,41, ,1.5, ,13.4, ,97, ,13.0, ,0.6, ,64, ,14.9, 
152,Camarillo,Central Coast Valleys,11/9/2017,0900,313,0.14, ,0.00, ,298, ,1.6, ,16.9, ,82, ,13.8, ,1.1, ,141, ,14.8, 
152,Camarillo,Central Coast Valleys,11/9/2017,1000,313,0.26, ,0.00, ,477, ,1.6, ,18.6, ,74, ,13.9, ,1.5, ,184, ,15.1, 
152,Camarillo,Central Coast Valleys,11/9/2017,1100,313,0.36, ,0.00, ,630, ,1.5, ,19.5, ,68, ,13.5, ,2.4, ,194, ,16.1, 
152,Camarillo,Central Coast Valleys,11/9/2017,1200,313,0.12, ,0.00, ,229, ,1.5, ,19.2, ,66, ,12.8, ,2.0, ,230, ,17.2, 
152,Camarillo,Central Coast Valleys,11/9/2017,1300,313,0.25, ,0.00, ,406, ,1.5, ,19.7, ,64, ,12.8, ,2.2, ,211, ,17.7, 
152,Camarillo,Central Coast Valleys,11/9/2017,1400,313,0.26, ,0.00, ,416, ,1.5, ,19.8, ,65, ,13.1, ,2.9, ,201, ,18.1, 
152,Camarillo,Central Coast Valleys,11/9/2017,1500,313,0.22, ,0.00, ,366, ,1.5, ,19.6, ,67, ,13.4, ,2.8, ,207, ,18.6, 
152,Camarillo,Central Coast Valleys,11/9/2017,1600,313,0.04, ,0.00, ,82, ,1.5, ,18.4, ,72, ,13.3, ,2.0, ,212, ,18.9, 
152,Camarillo,Central Coast Valleys,11/9/2017,1700,313,0.03, ,0.00, ,18, ,1.5, ,17.8, ,76, ,13.5, ,1.9, ,205, ,18.6, 
152,Camarillo,Central Coast Valleys,11/9/2017,1800,313,0.01, ,0.00, ,0, ,1.6, ,17.4, ,80, ,13.9, ,1.9, ,196, ,18.3, 
152,Camarillo,Central Coast Valleys,11/9/2017,1900,313,0.01, ,0.00, ,0, ,1.6, ,17.1, ,83, ,14.2, ,1.8, ,210, ,17.9, 
152,Camarillo,Central Coast Valleys,11/9/2017,2000,313,0.00, ,0.00, ,0, ,1.7, ,16.8, ,88, ,14.7, ,1.6, ,228, ,17.6, 
152,Camarillo,Central Coast Valleys,11/9/2017,2100,313,0.00, ,0.00, ,0, ,1.7, ,16.5, ,92, ,15.1, ,1.6, ,233, ,17.4, 
152,Camarillo,Central Coast Valleys,11/9/2017,2200,313,0.00, ,0.00, ,0, ,1.7, ,16.2, ,93, ,15.1, ,1.0, ,190, ,17.2, 
152,Camarillo,Central Coast Valleys,11/9/2017,2300,313,0.00, ,0.00, ,0, ,1.7, ,16.2, ,93, ,15.0, ,0.7, ,157, ,17.1, 
152,Camarillo,Central Coast Valleys,11/9/2017,2400,313,0.00, ,0.00, ,0, ,1.7, ,15.9, ,95, ,15.2, ,0.5, ,188, ,17.0, 
152,Camarillo,Central Coast Valleys,11/10/2017,0100,314,0.00, ,0.00, ,0, ,1.7, ,15.5, ,97, ,15.1, ,0.6, ,199, ,16.9, 
152,Camarillo,Central Coast Valleys,11/10/2017,0200,314,0.00, ,0.00, ,0, ,1.6, ,14.5, ,98, ,14.1, ,0.5, ,29, ,16.7, 
152,Camarillo,Central Coast Valleys,11/10/2017,0300,314,0.00, ,0.00, ,0, ,1.5, ,13.7, ,99, ,13.5, ,0.5, ,24, ,16.5, 
152,Camarillo,Central Coast Valleys,11/10/2017,0400,314,0.00, ,0.00, ,0, ,1.6, ,13.9, ,99, ,13.7, ,0.5, ,5, ,16.3, 
152,Camarillo,Central Coast Valleys,11/10/2017,0500,314,0.00, ,0.00, ,0, ,1.6, ,13.8, ,99, ,13.6, ,0.5, ,47, ,16.1, 
152,Camarillo,Central Coast Valleys,11/10/2017,0600,314,0.00, ,0.00, ,0, ,1.6, ,14.1, ,99, ,13.9, ,0.5, ,38, ,16.0, 
152,Camarillo,Central Coast Valleys,11/10/2017,0700,314,0.00, ,0.00, ,5, ,1.5, ,14.1, ,95, ,13.3, ,0.7, ,75, ,15.9, 
152,Camarillo,Central Coast Valleys,11/10/2017,0800,314,0.01, ,0.00, ,49, ,1.5, ,14.5, ,91, ,12.9, ,1.0, ,70, ,15.9, 
152,Camarillo,Central Coast Valleys,11/10/2017,0900,314,0.04, ,0.00, ,113, ,1.4, ,15.3, ,82, ,12.2, ,1.4, ,42, ,16.0, 
152,Camarillo,Central Coast Valleys,11/10/2017,1000,314,0.20, ,0.00, ,374, ,1.4, ,17.0, ,69, ,11.4, ,1.8, ,39, ,16.2, 
152,Camarillo,Central Coast Valleys,11/10/2017,1100,314,0.32, ,0.00, ,544, ,1.4, ,18.7, ,64, ,11.7, ,1.6, ,5, ,16.7, 
152,Camarillo,Central Coast Valleys,11/10/2017,1200,314,0.36, ,0.00, ,576, ,1.4, ,19.7, ,62, ,12.2, ,2.2, ,223, ,17.6, 
152,Camarillo,Central Coast Valleys,11/10/2017,1300,314,0.35, ,0.00, ,565, ,1.5, ,19.2, ,67, ,13.0, ,2.9, ,213, ,18.5, 
152,Camarillo,Central Coast Valleys,11/10/2017,1400,314,0.29, ,0.00, ,476, ,1.5, ,18.9, ,68, ,12.8, ,2.9, ,202, ,19.2, 
152,Camarillo,Central Coast Valleys,11/10/2017,1500,314,0.21, ,0.00, ,358, ,1.4, ,18.6, ,68, ,12.5, ,2.7, ,208, ,19.6, 
152,Camarillo,Central Coast Valleys,11/10/2017,1600,314,0.09, ,0.00, ,179, ,1.4, ,17.8, ,71, ,12.4, ,2.4, ,202, ,19.7, 
152,Camarillo,Central Coast Valleys,11/10/2017,1700,314,0.03, ,0.00, ,36, ,1.4, ,16.7, ,76, ,12.5, ,2.3, ,189, ,19.4, 
152,Camarillo,Central Coast Valleys,11/10/2017,1800,314,0.00, ,0.00, ,0, ,1.4, ,15.4, ,82, ,12.3, ,0.9, ,184, ,18.8, 
