#,"Date Time, GMT -0700","Temp, °F","RH, %","DewPt, °F"
39,2018-09-25 16:49:00,71.45,66.66,59.82
40,2018-09-25 16:59:00,71.15,67.06,59.69
41,2018-09-25 17:09:00,70.53,66.54,58.89
42,2018-09-25 17:19:00,69.45,69.27,58.98
43,2018-09-25 17:29:00,68.91,69.27,58.47
44,2018-09-25 17:39:00,68.13,70.14,58.07
45,2018-09-25 17:49:00,67.75,71.59,58.27
46,2018-09-25 17:59:00,66.90,72.78,57.91
47,2018-09-25 18:09:00,66.20,72.83,57.27
48,2018-09-25 18:19:00,65.51,73.95,57.02
49,2018-09-25 18:29:00,64.89,75.27,56.91
50,2018-09-25 18:39:00,64.58,75.85,56.83
51,2018-09-25 18:49:00,64.35,76.23,56.74
52,2018-09-25 18:59:00,64.27,76.12,56.63
53,2018-09-25 19:09:00,64.12,76.15,56.49
54,2018-09-25 19:19:00,63.89,77.13,56.62
55,2018-09-25 19:29:00,63.81,77.54,56.69
56,2018-09-25 19:39:00,63.89,77.94,56.91
57,2018-09-25 19:49:00,63.96,77.42,56.80
58,2018-09-25 19:59:00,64.04,78.00,57.08
59,2018-09-25 20:09:00,64.04,77.89,57.04
60,2018-09-25 20:19:00,64.12,77.63,57.02
61,2018-09-25 20:29:00,63.81,78.38,56.99
62,2018-09-25 20:39:00,63.73,78.03,56.79
63,2018-09-25 20:49:00,63.81,78.81,57.14
64,2018-09-25 20:59:00,63.96,78.41,57.15
65,2018-09-25 21:09:00,63.89,78.95,57.27
66,2018-09-25 21:19:00,64.04,79.36,57.56
67,2018-09-25 21:29:00,64.12,78.81,57.44
68,2018-09-25 21:39:00,64.12,78.93,57.48
69,2018-09-25 21:49:00,64.20,78.46,57.39
70,2018-09-25 21:59:00,63.89,78.84,57.23
71,2018-09-25 22:09:00,63.89,79.33,57.40
72,2018-09-25 22:19:00,63.89,78.90,57.25
73,2018-09-25 22:29:00,63.96,79.24,57.44
74,2018-09-25 22:39:00,63.89,79.79,57.56
75,2018-09-25 22:49:00,63.96,78.95,57.34
76,2018-09-25 22:59:00,63.89,79.73,57.54
77,2018-09-25 23:09:00,64.04,80.19,57.85
78,2018-09-25 23:19:00,63.96,78.95,57.34
79,2018-09-25 23:29:00,63.89,79.21,57.36
80,2018-09-25 23:39:00,63.89,79.67,57.52
81,2018-09-25 23:49:00,63.89,79.39,57.42
82,2018-09-25 23:59:00,63.81,79.73,57.46
83,2018-09-26 0:09:00,63.73,80.16,57.54
84,2018-09-26 0:19:00,63.66,80.25,57.49
85,2018-09-26 0:29:00,63.73,81.05,57.84
86,2018-09-26 0:39:00,63.81,80.28,57.65
87,2018-09-26 0:49:00,63.73,80.56,57.68
88,2018-09-26 0:59:00,63.81,80.73,57.81
89,2018-09-26 1:09:00,63.89,80.28,57.73
90,2018-09-26 1:19:00,63.89,80.71,57.88
91,2018-09-26 1:29:00,63.81,79.79,57.48
92,2018-09-26 1:39:00,63.58,80.56,57.53
93,2018-09-26 1:49:00,63.35,81.42,57.59
94,2018-09-26 1:59:00,63.19,81.08,57.33
95,2018-09-26 2:09:00,62.81,81.48,57.09
96,2018-09-26 2:19:00,62.50,81.31,56.73
97,2018-09-26 2:29:00,62.19,81.82,56.60
98,2018-09-26 2:39:00,61.72,82.10,56.24
99,2018-09-26 2:49:00,61.42,82.64,56.12
100,2018-09-26 2:59:00,61.03,83.04,55.88
101,2018-09-26 3:09:00,60.95,83.44,55.93
102,2018-09-26 3:19:00,60.88,83.89,56.01
103,2018-09-26 3:29:00,60.88,83.86,56.00
104,2018-09-26 3:39:00,61.03,84.65,56.41
105,2018-09-26 3:49:00,61.18,84.26,56.43
106,2018-09-26 3:59:00,61.42,84.82,56.84
107,2018-09-26 4:09:00,61.57,84.31,56.83
108,2018-09-26 4:19:00,61.57,83.86,56.68
109,2018-09-26 4:29:00,61.65,84.00,56.80
110,2018-09-26 4:39:00,61.65,84.85,57.08
111,2018-09-26 4:49:00,61.65,84.29,56.89
112,2018-09-26 4:59:00,61.72,84.40,57.01
113,2018-09-26 5:09:00,61.57,84.31,56.83
114,2018-09-26 5:19:00,61.57,83.98,56.72
115,2018-09-26 5:29:00,61.57,84.74,56.97
116,2018-09-26 5:39:00,61.57,84.74,56.97
117,2018-09-26 5:49:00,61.49,84.74,56.89
118,2018-09-26 5:59:00,61.49,84.82,56.92
119,2018-09-26 6:09:00,61.49,84.85,56.93
120,2018-09-26 6:19:00,61.42,84.71,56.81
121,2018-09-26 6:29:00,61.49,85.24,57.06
122,2018-09-26 6:39:00,61.42,85.69,57.13
123,2018-09-26 6:49:00,61.57,85.61,57.25
124,2018-09-26 6:59:00,61.49,85.27,57.06
125,2018-09-26 7:09:00,61.42,85.16,56.95
126,2018-09-26 7:19:00,61.26,85.58,56.94
127,2018-09-26 7:29:00,61.26,85.58,56.94
128,2018-09-26 7:39:00,61.65,86.50,57.62
129,2018-09-26 7:49:00,61.88,86.20,57.74
130,2018-09-26 7:59:00,61.80,85.33,57.39
131,2018-09-26 8:09:00,62.03,85.22,57.58
132,2018-09-26 8:19:00,62.42,85.30,57.98
133,2018-09-26 8:29:00,62.65,85.44,58.26
134,2018-09-26 8:39:00,62.88,84.91,58.31
135,2018-09-26 8:49:00,63.42,84.62,58.75
136,2018-09-26 8:59:00,63.73,83.69,58.74
137,2018-09-26 9:09:00,64.04,83.41,58.95
138,2018-09-26 9:19:00,64.35,82.45,58.93
139,2018-09-26 9:29:00,64.81,82.96,59.55
140,2018-09-26 9:39:00,65.20,82.10,59.64
141,2018-09-26 9:49:00,65.43,82.13,59.88
142,2018-09-26 9:59:00,66.13,81.45,60.32
143,2018-09-26 10:09:00,67.13,80.05,60.81
144,2018-09-26 10:19:00,67.83,77.94,60.73
145,2018-09-26 10:29:00,69.29,78.49,62.36
146,2018-09-26 10:39:00,71.07,74.57,62.62
147,2018-09-26 10:49:00,72.15,72.54,62.88
148,2018-09-26 10:59:00,73.39,71.59,63.69
149,2018-09-26 11:09:00,74.70,69.39,64.05
150,2018-09-26 11:19:00,75.93,67.57,64.47
151,2018-09-26 11:29:00,76.47,72.07,66.85
152,2018-09-26 11:39:00,76.94,67.15,65.25
153,2018-09-26 11:49:00,77.25,66.75,65.37
154,2018-09-26 11:59:00,77.86,66.45,65.83
155,2018-09-26 12:09:00,78.02,66.91,66.17
156,2018-09-26 12:19:00,78.33,65.79,65.98
157,2018-09-26 12:29:00,79.56,64.67,66.66
158,2018-09-26 12:39:00,80.34,61.31,65.84
159,2018-09-26 12:49:00,80.57,61.59,66.19
160,2018-09-26 12:59:00,80.64,62.81,66.83
161,2018-09-26 13:09:00,80.80,63.57,67.33
162,2018-09-26 13:19:00,79.41,64.18,66.29
163,2018-09-26 13:29:00,77.63,64.00,64.53
164,2018-09-26 13:39:00,76.94,66.36,64.91
165,2018-09-26 13:49:00,76.24,65.58,63.91
166,2018-09-26 13:59:00,76.94,65.64,64.59
167,2018-09-26 14:09:00,76.86,64.42,63.99
168,2018-09-26 14:19:00,77.09,64.21,64.11
169,2018-09-26 14:29:00,77.01,65.43,64.57
170,2018-09-26 14:39:00,76.63,64.39,63.75
171,2018-09-26 14:49:00,76.17,63.63,62.98
172,2018-09-26 14:59:00,75.08,64.27,62.24
173,2018-09-26 15:09:00,73.85,66.91,62.20
174,2018-09-26 15:19:00,74.78,66.15,62.76
175,2018-09-26 15:29:00,74.31,63.94,61.36
176,2018-09-26 15:39:00,73.93,65.37,61.62
177,2018-09-26 15:49:00,74.23,67.42,62.79
178,2018-09-26 15:59:00,74.54,65.43,62.23
179,2018-09-26 16:09:00,74.54,64.21,61.70
180,2018-09-26 16:19:00,74.31,66.12,62.31
181,2018-09-26 16:29:00,74.54,67.45,63.09
182,2018-09-26 16:39:00,74.54,66.15,62.54
183,2018-09-26 16:49:00,74.62,67.06,63.00
184,2018-09-26 16:59:00,74.39,66.87,62.70
185,2018-09-26 17:09:00,74.47,67.96,63.24
186,2018-09-26 17:19:00,73.23,69.15,62.55
187,2018-09-26 17:29:00,72.23,69.69,61.81
188,2018-09-26 17:39:00,71.22,71.42,61.54
189,2018-09-26 17:49:00,70.14,72.69,61.00
190,2018-09-26 17:59:00,69.37,72.98,60.37
191,2018-09-26 18:09:00,68.60,74.77,60.31
192,2018-09-26 18:19:00,67.98,75.68,60.05
193,2018-09-26 18:29:00,67.28,76.52,59.69
194,2018-09-26 18:39:00,66.67,77.39,59.41
195,2018-09-26 18:49:00,66.05,78.58,59.24
196,2018-09-26 18:59:00,65.51,79.53,59.05
197,2018-09-26 19:09:00,65.12,79.82,58.77
198,2018-09-26 19:19:00,64.81,80.28,58.63
199,2018-09-26 19:29:00,64.50,80.68,58.47
200,2018-09-26 19:39:00,64.20,81.11,58.32
201,2018-09-26 19:49:00,63.96,81.93,58.37
202,2018-09-26 19:59:00,63.73,81.51,58.00
203,2018-09-26 20:09:00,63.50,81.56,57.79
204,2018-09-26 20:19:00,63.35,82.87,58.09
205,2018-09-26 20:29:00,63.58,83.69,58.59
206,2018-09-26 20:39:00,63.96,84.17,59.13
207,2018-09-26 20:49:00,64.12,83.41,59.02
208,2018-09-26 20:59:00,64.35,83.41,59.25
209,2018-09-26 21:09:00,64.43,83.47,59.35
210,2018-09-26 21:19:00,64.50,83.81,59.54
211,2018-09-26 21:29:00,64.66,83.04,59.43
212,2018-09-26 21:39:00,64.66,82.90,59.38
213,2018-09-26 21:49:00,64.66,83.38,59.54
214,2018-09-26 21:59:00,64.58,82.93,59.32
215,2018-09-26 22:09:00,64.50,83.04,59.28
216,2018-09-26 22:19:00,64.50,83.35,59.38
217,2018-09-26 22:29:00,64.27,83.78,59.30
218,2018-09-26 22:39:00,64.35,83.89,59.41
219,2018-09-26 22:49:00,64.12,83.41,59.02
220,2018-09-26 22:59:00,63.81,84.14,58.97
221,2018-09-26 23:09:00,63.73,84.12,58.88
222,2018-09-26 23:19:00,63.66,84.54,58.95
223,2018-09-26 23:29:00,63.50,85.10,58.98
224,2018-09-26 23:39:00,63.50,85.07,58.97
225,2018-09-26 23:49:00,63.58,85.55,59.20
226,2018-09-26 23:59:00,63.73,85.13,59.22
227,2018-09-27 0:09:00,63.89,85.05,59.34
228,2018-09-27 0:19:00,64.12,84.71,59.46
229,2018-09-27 0:29:00,64.35,85.22,59.85
230,2018-09-27 0:39:00,64.20,84.62,59.50
231,2018-09-27 0:49:00,64.43,84.77,59.78
232,2018-09-27 0:59:00,64.58,84.26,59.76
233,2018-09-27 1:09:00,64.58,84.68,59.90
234,2018-09-27 1:19:00,64.50,84.34,59.71
235,2018-09-27 1:29:00,64.50,84.34,59.71
236,2018-09-27 1:39:00,64.50,84.77,59.85
237,2018-09-27 1:49:00,64.43,84.68,59.75
238,2018-09-27 1:59:00,64.35,84.65,59.67
239,2018-09-27 2:09:00,64.27,84.65,59.59
240,2018-09-27 2:19:00,63.96,85.05,59.42
241,2018-09-27 2:29:00,63.96,85.16,59.45
242,2018-09-27 2:39:00,64.04,85.16,59.53
243,2018-09-27 2:49:00,63.96,85.50,59.57
244,2018-09-27 2:59:00,63.96,85.50,59.57
245,2018-09-27 3:09:00,64.04,85.47,59.63
246,2018-09-27 3:19:00,63.96,85.16,59.45
247,2018-09-27 3:29:00,63.89,85.55,59.51
248,2018-09-27 3:39:00,63.81,85.92,59.55
249,2018-09-27 3:49:00,63.66,85.89,59.39
250,2018-09-27 3:59:00,63.66,86.00,59.43
251,2018-09-27 4:09:00,63.66,85.89,59.39
252,2018-09-27 4:19:00,63.50,85.86,59.23
253,2018-09-27 4:29:00,63.42,86.28,59.29
254,2018-09-27 4:39:00,63.35,86.39,59.25
255,2018-09-27 4:49:00,63.27,86.37,59.17
256,2018-09-27 4:59:00,63.27,86.28,59.14
257,2018-09-27 5:09:00,63.11,86.37,59.01
258,2018-09-27 5:19:00,62.96,87.09,59.10
259,2018-09-27 5:29:00,62.81,87.06,58.94
260,2018-09-27 5:39:00,62.73,87.17,58.89
261,2018-09-27 5:49:00,62.73,87.17,58.89
262,2018-09-27 5:59:00,62.73,87.51,59.00
263,2018-09-27 6:09:00,62.65,87.59,58.95
264,2018-09-27 6:19:00,62.57,87.48,58.84
265,2018-09-27 6:29:00,62.27,87.98,58.70
266,2018-09-27 6:39:00,62.19,87.95,58.61
267,2018-09-27 6:49:00,62.11,87.84,58.50
268,2018-09-27 6:59:00,62.03,87.51,58.32
269,2018-09-27 7:09:00,62.27,87.98,58.70
270,2018-09-27 7:19:00,62.50,87.57,58.79
271,2018-09-27 7:29:00,62.50,87.48,58.77
272,2018-09-27 7:39:00,62.57,87.59,58.88
273,2018-09-27 7:49:00,62.57,87.15,58.73
274,2018-09-27 7:59:00,62.57,87.48,58.84
275,2018-09-27 8:09:00,62.81,87.06,58.94
276,2018-09-27 8:19:00,62.96,86.67,58.96
277,2018-09-27 8:29:00,63.11,86.64,59.10
278,2018-09-27 8:39:00,63.04,87.12,59.18
279,2018-09-27 8:49:00,63.27,86.70,59.27
280,2018-09-27 8:59:00,63.73,86.34,59.61
281,2018-09-27 9:09:00,64.27,85.52,59.88
282,2018-09-27 9:19:00,64.74,86.14,60.54
283,2018-09-27 9:29:00,65.82,85.38,61.35
284,2018-09-27 9:39:00,66.59,84.06,61.66
285,2018-09-27 9:49:00,67.36,83.27,62.15
286,2018-09-27 9:59:00,67.44,83.30,62.24
287,2018-09-27 10:09:00,68.29,81.16,62.33
288,2018-09-27 10:19:00,70.37,78.29,63.33
289,2018-09-27 10:29:00,71.69,76.09,63.79
290,2018-09-27 10:39:00,73.08,75.88,65.06
291,2018-09-27 10:49:00,74.16,74.98,65.76
292,2018-09-27 10:59:00,75.32,73.66,66.36
293,2018-09-27 11:09:00,75.93,70.94,65.87
294,2018-09-27 11:19:00,76.09,71.92,66.42
295,2018-09-27 11:29:00,77.17,71.18,67.15
296,2018-09-27 11:39:00,78.02,68.77,66.97
297,2018-09-27 11:49:00,77.79,67.75,66.31
298,2018-09-27 11:59:00,77.71,70.20,67.27
299,2018-09-27 12:09:00,78.25,70.23,67.80
300,2018-09-27 12:19:00,78.33,70.17,67.85
301,2018-09-27 12:29:00,78.17,69.15,67.28
302,2018-09-27 12:39:00,78.48,70.73,68.23
303,2018-09-27 12:49:00,78.17,69.69,67.50
304,2018-09-27 12:59:00,78.02,67.39,66.38
305,2018-09-27 13:09:00,77.56,69.78,66.95
306,2018-09-27 13:19:00,77.40,68.20,66.14
307,2018-09-27 13:29:00,76.86,67.72,65.42
308,2018-09-27 13:39:00,76.63,68.71,65.61
309,2018-09-27 13:49:00,76.01,70.44,65.74
310,2018-09-27 13:59:00,75.47,69.42,64.81
311,2018-09-27 14:09:00,76.32,69.12,65.49
312,2018-09-27 14:19:00,77.01,69.09,66.15
313,2018-09-27 14:29:00,77.09,66.78,65.24
314,2018-09-27 14:39:00,77.79,67.39,66.16
315,2018-09-27 14:49:00,77.63,66.45,65.61
316,2018-09-27 14:59:00,77.40,67.33,65.77
317,2018-09-27 15:09:00,77.63,66.94,65.82
318,2018-09-27 15:19:00,77.71,65.97,65.47
319,2018-09-27 15:29:00,77.17,67.30,65.53
320,2018-09-27 15:39:00,76.86,66.36,64.84
321,2018-09-27 15:49:00,76.63,67.21,64.98
322,2018-09-27 15:59:00,76.32,67.60,64.85
323,2018-09-27 16:09:00,75.16,69.06,64.36
324,2018-09-27 16:19:00,74.39,68.50,63.39
325,2018-09-27 16:29:00,73.46,69.27,62.82
326,2018-09-27 16:39:00,72.61,71.09,62.75
327,2018-09-27 16:49:00,71.84,71.86,62.31
328,2018-09-27 16:59:00,71.07,73.28,62.12
329,2018-09-27 17:09:00,70.61,73.66,61.82
330,2018-09-27 17:19:00,70.22,74.01,61.59
331,2018-09-27 17:29:00,69.68,74.01,61.07
332,2018-09-27 17:39:00,69.45,75.45,61.38
333,2018-09-27 17:49:00,68.91,75.77,60.98
334,2018-09-27 17:59:00,68.29,77.02,60.85
335,2018-09-27 18:09:00,67.90,77.89,60.79
336,2018-09-27 18:19:00,67.28,78.72,60.49
337,2018-09-27 18:29:00,66.82,80.19,60.56
338,2018-09-27 18:39:00,66.36,80.48,60.21
339,2018-09-27 18:49:00,66.05,80.99,60.09
340,2018-09-27 18:59:00,65.66,81.71,59.96
341,2018-09-27 19:09:00,65.28,82.13,59.72
342,2018-09-27 19:19:00,64.89,82.16,59.36
343,2018-09-27 19:29:00,64.50,82.56,59.11
344,2018-09-27 19:39:00,64.20,82.10,58.66
345,2018-09-27 19:49:00,63.73,82.79,58.44
346,2018-09-27 19:59:00,63.42,83.21,58.28
347,2018-09-27 20:09:00,63.04,84.06,58.18
348,2018-09-27 20:19:00,62.65,84.12,57.82
349,2018-09-27 20:29:00,62.57,84.88,58.00
350,2018-09-27 20:39:00,62.65,86.20,58.50
351,2018-09-27 20:49:00,62.96,85.92,58.72
352,2018-09-27 20:59:00,63.42,86.39,59.33
353,2018-09-27 21:09:00,63.81,85.89,59.54
354,2018-09-27 21:19:00,63.96,86.00,59.73
355,2018-09-27 21:29:00,64.20,85.64,59.84
356,2018-09-27 21:39:00,64.27,86.06,60.05
357,2018-09-27 21:49:00,64.43,85.97,60.18
358,2018-09-27 21:59:00,64.35,85.64,59.99
359,2018-09-27 22:09:00,64.43,86.09,60.21
360,2018-09-27 22:19:00,64.35,85.97,60.10
361,2018-09-27 22:29:00,64.35,85.64,59.99
362,2018-09-27 22:39:00,64.20,85.95,59.94
363,2018-09-27 22:49:00,64.12,86.06,59.90
364,2018-09-27 22:59:00,64.27,85.97,60.02
365,2018-09-27 23:09:00,64.20,86.39,60.09
366,2018-09-27 23:19:00,64.20,86.50,60.12
367,2018-09-27 23:29:00,64.20,86.06,59.98
368,2018-09-27 23:39:00,63.96,85.61,59.60
369,2018-09-27 23:49:00,63.96,86.90,60.02
370,2018-09-27 23:59:00,64.04,86.81,60.07
371,2018-09-28 0:09:00,63.66,86.00,59.43
372,2018-09-28 0:19:00,63.66,86.73,59.66
373,2018-09-28 0:29:00,63.66,86.73,59.66
374,2018-09-28 0:39:00,63.73,86.45,59.65
375,2018-09-28 0:49:00,63.73,86.87,59.78
376,2018-09-28 0:59:00,63.73,86.87,59.78
377,2018-09-28 1:09:00,63.73,86.76,59.75
378,2018-09-28 1:19:00,63.58,86.28,59.44
379,2018-09-28 1:29:00,63.50,87.17,59.66
380,2018-09-28 1:39:00,63.50,87.17,59.66
381,2018-09-28 1:49:00,63.50,87.17,59.66
382,2018-09-28 1:59:00,63.50,87.59,59.79
383,2018-09-28 2:09:00,63.50,87.70,59.83
384,2018-09-28 2:19:00,63.50,87.70,59.83
385,2018-09-28 2:29:00,63.19,87.57,59.48
386,2018-09-28 2:39:00,63.35,88.45,59.91
387,2018-09-28 2:49:00,63.35,87.26,59.53
388,2018-09-28 2:59:00,63.27,87.68,59.59
389,2018-09-28 3:09:00,63.35,87.26,59.53
390,2018-09-28 3:19:00,63.27,87.68,59.59
391,2018-09-28 3:29:00,63.27,88.12,59.73
392,2018-09-28 3:39:00,63.35,87.26,59.53
393,2018-09-28 3:49:00,62.73,88.48,59.31
394,2018-09-28 3:59:00,62.88,88.93,59.60
395,2018-09-28 4:09:00,63.04,88.84,59.73
396,2018-09-28 4:19:00,63.11,88.95,59.84
397,2018-09-28 4:29:00,62.96,88.51,59.55
398,2018-09-28 4:39:00,62.96,88.93,59.68
399,2018-09-28 4:49:00,63.11,88.43,59.68
400,2018-09-28 4:59:00,62.96,88.81,59.65
401,2018-09-28 5:09:00,63.04,88.40,59.59
402,2018-09-28 5:19:00,62.96,88.51,59.55
403,2018-09-28 5:29:00,62.88,88.37,59.43
404,2018-09-28 5:39:00,62.81,88.90,59.52
405,2018-09-28 5:49:00,62.81,88.90,59.52
406,2018-09-28 5:59:00,62.73,88.90,59.44
407,2018-09-28 6:09:00,62.81,88.90,59.52
408,2018-09-28 6:19:00,62.73,88.79,59.41
409,2018-09-28 6:29:00,62.57,88.76,59.25
410,2018-09-28 6:39:00,62.65,88.79,59.33
411,2018-09-28 6:49:00,62.65,88.79,59.33
412,2018-09-28 6:59:00,62.57,88.87,59.28
413,2018-09-28 7:09:00,62.73,88.90,59.44
414,2018-09-28 7:19:00,62.81,88.81,59.49
415,2018-09-28 7:29:00,62.96,88.81,59.65
416,2018-09-28 7:39:00,63.19,88.54,59.79
417,2018-09-28 7:49:00,63.19,88.54,59.79
418,2018-09-28 7:59:00,63.42,88.45,59.99
419,2018-09-28 8:09:00,63.58,88.15,60.04
420,2018-09-28 8:19:00,64.04,88.65,60.66
421,2018-09-28 8:29:00,64.04,88.09,60.48
422,2018-09-28 8:39:00,64.43,87.73,60.75
423,2018-09-28 8:49:00,64.74,87.43,60.95
424,2018-09-28 8:59:00,64.97,86.59,60.91
425,2018-09-28 9:09:00,65.05,87.37,61.24
426,2018-09-28 9:19:00,65.43,86.67,61.39
427,2018-09-28 9:29:00,65.59,86.56,61.51
428,2018-09-28 9:39:00,65.59,86.23,61.40
429,2018-09-28 9:49:00,65.82,85.30,61.32
430,2018-09-28 9:59:00,65.89,87.04,61.97
431,2018-09-28 10:09:00,66.20,85.02,61.61
432,2018-09-28 10:19:00,66.51,85.78,62.16
433,2018-09-28 10:29:00,67.21,85.58,62.78
434,2018-09-28 10:39:00,67.67,84.20,62.77
435,2018-09-28 10:49:00,67.98,83.33,62.78
436,2018-09-28 10:59:00,68.29,83.92,63.28
437,2018-09-28 11:09:00,68.52,82.16,62.90
438,2018-09-28 11:19:00,68.60,82.64,63.15
439,2018-09-28 11:29:00,69.52,83.18,64.24
440,2018-09-28 11:39:00,69.99,82.70,64.53
441,2018-09-28 11:49:00,71.53,77.45,64.15
442,2018-09-28 11:59:00,72.46,76.70,64.77
443,2018-09-28 12:09:00,73.00,76.81,65.34
444,2018-09-28 12:19:00,73.93,77.66,66.55
445,2018-09-28 12:29:00,74.70,75.62,66.53
446,2018-09-28 12:39:00,75.93,73.81,67.02
447,2018-09-28 12:49:00,76.47,74.30,67.73
448,2018-09-28 12:59:00,77.17,72.48,67.68
449,2018-09-28 13:09:00,77.48,72.60,68.02
450,2018-09-28 13:19:00,77.63,71.62,67.78
451,2018-09-28 13:29:00,77.48,71.48,67.57
452,2018-09-28 13:39:00,77.17,70.67,66.95
453,2018-09-28 13:49:00,77.17,71.65,67.35
454,2018-09-28 13:59:00,76.78,71.98,67.11
455,2018-09-28 14:09:00,77.25,72.01,67.56
456,2018-09-28 14:19:00,77.63,69.81,67.04
457,2018-09-28 14:29:00,78.25,71.15,68.18
458,2018-09-28 14:39:00,78.48,69.81,67.85
459,2018-09-28 14:49:00,78.10,69.84,67.49
460,2018-09-28 14:59:00,77.25,72.07,67.59
461,2018-09-28 15:09:00,76.86,71.15,66.85
462,2018-09-28 15:19:00,76.09,72.01,66.45
463,2018-09-28 15:29:00,75.70,71.50,65.88
464,2018-09-28 15:39:00,75.08,72.72,65.77
465,2018-09-28 15:49:00,74.08,74.04,65.32
466,2018-09-28 15:59:00,72.77,75.27,64.53
467,2018-09-28 16:09:00,71.61,77.10,64.10
468,2018-09-28 16:19:00,70.45,78.18,63.37
469,2018-09-28 16:29:00,69.52,79.62,62.99
470,2018-09-28 16:39:00,68.98,81.25,63.04
471,2018-09-28 16:49:00,68.60,81.62,62.79
472,2018-09-28 16:59:00,68.37,82.16,62.75
473,2018-09-28 17:09:00,68.29,82.16,62.68
474,2018-09-28 17:19:00,68.06,83.01,62.74
475,2018-09-28 17:29:00,67.98,83.33,62.78
476,2018-09-28 17:39:00,67.75,83.86,62.73
477,2018-09-28 17:49:00,67.59,84.17,62.69
478,2018-09-28 17:59:00,67.44,83.83,62.42
479,2018-09-28 18:09:00,67.44,84.14,62.53
480,2018-09-28 18:19:00,67.28,84.60,62.53
481,2018-09-28 18:29:00,66.98,84.96,62.35
482,2018-09-28 18:39:00,66.59,85.38,62.11
483,2018-09-28 18:49:00,66.28,85.75,61.92
484,2018-09-28 18:59:00,66.05,86.31,61.88
485,2018-09-28 19:09:00,65.82,86.56,61.74
486,2018-09-28 19:19:00,65.82,86.67,61.77
487,2018-09-28 19:29:00,65.74,86.56,61.66
488,2018-09-28 19:39:00,65.74,87.01,61.81
489,2018-09-28 19:49:00,65.66,87.01,61.73
490,2018-09-28 19:59:00,65.51,87.43,61.71
491,2018-09-28 20:09:00,65.59,87.09,61.68
492,2018-09-28 20:19:00,65.59,87.45,61.80
493,2018-09-28 20:29:00,65.51,87.43,61.71
494,2018-09-28 20:39:00,65.51,87.43,61.71
495,2018-09-28 20:49:00,65.51,87.09,61.61
496,2018-09-28 20:59:00,65.51,87.98,61.89
497,2018-09-28 21:09:00,65.59,87.98,61.97
498,2018-09-28 21:19:00,65.51,87.98,61.89
499,2018-09-28 21:29:00,65.59,88.43,62.11
500,2018-09-28 21:39:00,65.59,88.32,62.08
501,2018-09-28 21:49:00,65.51,87.87,61.86
502,2018-09-28 21:59:00,65.43,87.95,61.81
503,2018-09-28 22:09:00,65.43,87.95,61.81
504,2018-09-28 22:19:00,65.35,87.95,61.73
505,2018-09-28 22:29:00,65.43,87.84,61.77
506,2018-09-28 22:39:00,65.35,87.84,61.70
507,2018-09-28 22:49:00,65.43,87.84,61.77
508,2018-09-28 22:59:00,65.35,87.95,61.73
509,2018-09-28 23:09:00,65.43,88.73,62.06
510,2018-09-28 23:19:00,65.51,88.73,62.13
511,2018-09-28 23:29:00,65.59,87.98,61.97
512,2018-09-28 23:39:00,65.43,87.54,61.67
513,2018-09-28 23:49:00,65.28,87.40,61.48
514,2018-09-28 23:59:00,65.28,87.51,61.51
515,2018-09-29 0:09:00,65.05,87.93,61.42
516,2018-09-29 0:19:00,65.12,88.26,61.60
517,2018-09-29 0:29:00,65.20,87.93,61.57
518,2018-09-29 0:39:00,65.12,87.82,61.46
