date,block,tunnel,trt,cane,n_lesions,lesion_length_1,lesion_length_2,lesion_length_3,lesion_length_4,lesion_length_5,status,notes
2018-03-13,2,2-row,blade,7,1,1.125,no lesion,no lesion,no lesion,no lesion,above twine,above twine 1
2018-04-11,2,2-row,blade,7,1,3.25,no lesion,no lesion,no lesion,no lesion,above twine,
2018-02-13,2,2-row,blade,8,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,2,2-row,blade,8,1,6.375,no lesion,no lesion,no lesion,no lesion,,sporulating
2018-04-11,2,2-row,blade,8,1,6.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,2,2-row,blade,9,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,2,2-row,blade,9,2,1.25,1.125,no lesion,no lesion,no lesion,,
2018-04-11,2,2-row,blade,9,2,1.5,1.25,no lesion,no lesion,no lesion,,
2018-02-13,2,2-row,blade,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,2,2-row,blade,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,2,2-row,blade,10,1,0.625,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,blade,1,1,3.5,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,possibly coming from the soil
2018-03-13,3,2-row,blade,1,1,15,no lesion,no lesion,no lesion,no lesion,,sporulating
2018-04-11,3,2-row,blade,1,1,18,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,blade,2,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,blade,2,1,0.75,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,3,2-row,blade,2,1,1,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,blade,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,blade,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,3,2-row,blade,3,1,1,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,blade,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,blade,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,3,2-row,blade,4,1,0.75,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,blade,5,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,blade,5,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,3,2-row,blade,5,2,2,1.75,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,blade,6,1,1,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,3,2-row,blade,6,1,1.75,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,starting to merge with the base ground lesion
2018-04-11,3,2-row,blade,6,1,37,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,3,2-row,blade,7,2,5.375,3.5,no lesion,no lesion,no lesion,,
2018-03-13,3,2-row,blade,7,2,3.625,5.75,no lesion,no lesion,no lesion,,
2018-04-11,3,2-row,blade,7,2,4.25,6.25,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,blade,8,2,1,1.5,no lesion,no lesion,no lesion,,
2018-03-13,3,2-row,blade,8,2,1,2.5,no lesion,no lesion,no lesion,,
2018-04-11,3,2-row,blade,8,2,1,2.75,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,blade,9,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,blade,9,1,0.875,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,3,2-row,blade,9,1,11.5,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,3,2-row,blade,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,blade,10,1,1.25,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,3,2-row,blade,10,1,1.375,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,blade,1,1,3.25,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,4,2-row,blade,1,1,3.375,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,blade,1,1,1.375,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,blade,2,1,0.875,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,4,2-row,blade,2,1,1.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,blade,2,1,1.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,blade,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,blade,3,1,0.375,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,blade,3,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,blade,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,blade,4,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,blade,4,1,12.5,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,4,2-row,blade,5,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,blade,5,2,0.375,1.5,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,blade,5,2,11,merged,no lesion,no lesion,no lesion,n_lesions revised to previous,previous lesions merged together
2018-02-13,4,2-row,blade,6,1,0.625,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,4,2-row,blade,6,1,0.25,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,blade,6,1,0.625,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,blade,7,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,blade,7,2,0.75,0.875,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,blade,7,2,0.875,1,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,blade,8,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-03-13,4,2-row,blade,8,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-04-11,4,2-row,blade,8,1,0.5,no lesion,no lesion,no lesion,no lesion,above twine,between twine 1 and 2
2018-02-13,4,2-row,blade,9,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-03-13,4,2-row,blade,9,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-04-11,4,2-row,blade,9,1,1.5,no lesion,no lesion,no lesion,no lesion,above twine,between twine 1 and 2
2018-02-13,4,2-row,blade,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-03-13,4,2-row,blade,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-04-11,4,2-row,blade,10,1,2.25,no lesion,no lesion,no lesion,no lesion,above twine,between twine 1 and 2
2018-02-13,5,2-row,blade,1,1,5.125,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,5,2-row,blade,1,1,5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,5,2-row,blade,1,1,7,no lesion,no lesion,no lesion,no lesion,,will merge with the ground lesion 
2018-02-13,5,2-row,blade,2,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,5,2-row,blade,2,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,5,2-row,blade,2,2,7.5,2,no lesion,no lesion,no lesion,,
2018-02-13,5,2-row,blade,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,5,2-row,blade,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,5,2-row,blade,3,1,5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,5,2-row,blade,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,5,2-row,blade,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,5,2-row,blade,4,1,2.875,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,5,2-row,blade,5,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,5,2-row,blade,5,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,5,2-row,blade,5,2,8.75,1,no lesion,no lesion,no lesion,,
2018-02-13,5,2-row,blade,6,1,5,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,5,2-row,blade,6,1,5.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,5,2-row,blade,6,1,5.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,5,2-row,blade,7,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,5,2-row,blade,7,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,5,2-row,blade,7,1,0.625,no lesion,no lesion,no lesion,no lesion,,lesion cracked
2018-02-13,5,2-row,blade,8,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,5,2-row,blade,8,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,5,2-row,blade,8,1,1.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,5,2-row,blade,9,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-03-13,5,2-row,blade,9,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-04-11,5,2-row,blade,9,1,5.25,no lesion,no lesion,no lesion,no lesion,above twine,between twine 1 and 2
2018-02-13,5,2-row,blade,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,5,2-row,blade,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,5,2-row,blade,10,1,1.125,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,1,2-row,control,1,1,0.375,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,1,2-row,control,1,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,control,1,1,12,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,1,2-row,control,2,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,control,2,1,4.75,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,control,2,1,16.5,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,1,2-row,control,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,control,3,1,2.125,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,control,3,1,2.25,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,1,2-row,control,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,control,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,1,2-row,control,4,1,2,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,1,2-row,control,5,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-03-13,1,2-row,control,5,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-04-11,1,2-row,control,5,1,2.875,no lesion,no lesion,no lesion,no lesion,above twine,above twine 1
2018-02-13,1,2-row,control,6,1,6.25,no lesion,no lesion,no lesion,no lesion,above twine,between 2nd and 3rd twine
2018-03-13,1,2-row,control,6,1,6.625,no lesion,no lesion,no lesion,no lesion,above twine,all buds the lesion is covering are sporulating
2018-04-11,1,2-row,control,6,1,7,no lesion,no lesion,no lesion,no lesion,above twine,
2018-02-13,1,2-row,control,7,2,1.625,0.5,no lesion,no lesion,no lesion,,
2018-03-13,1,2-row,control,7,2,1.875,0.625,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,control,7,2,23,0.625,no lesion,no lesion,no lesion,,lesion 1 merged with a newer lesion
2018-02-13,1,2-row,control,8,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,control,8,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,control,8,1,17,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,1,2-row,control,9,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,control,9,1,1,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,control,9,1,17,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,1,2-row,control,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,control,10,1,1.125,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,control,10,1,1.25,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,2,2-row,control,1,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,1,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,1,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,2,2-row,control,2,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,2,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,2,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,2,2-row,control,3,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,3,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,3,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,2,2-row,control,4,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,4,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,4,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,2,2-row,control,5,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,5,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,5,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,2,2-row,control,6,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,6,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,6,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,2,2-row,control,7,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,7,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,7,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,2,2-row,control,8,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,8,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,8,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,2,2-row,control,9,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,9,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,9,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,2,2-row,control,10,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-03-13,2,2-row,control,10,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-04-11,2,2-row,control,10,.,.,no lesion,no lesion,no lesion,no lesion,compromised control,
2018-02-13,3,2-row,control,1,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,control,1,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,3,2-row,control,1,1,2.875,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,control,2,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,control,2,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,3,2-row,control,2,1,15,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,control,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,control,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,3,2-row,control,3,1,5.25,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,control,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,control,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,3,2-row,control,4,1,2.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,control,5,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,control,5,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,3,2-row,control,5,1,1.125,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,control,6,1,2.5,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,3,2-row,control,6,1,21,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,total including bottom growth from the soil because it merged with the base lesion
2018-04-11,3,2-row,control,6,1,26.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,control,7,1,1,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,3,2-row,control,7,1,1,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,3,2-row,control,7,1,1,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,control,8,1,2.25,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,3,2-row,control,8,1,2.5,no lesion,no lesion,no lesion,no lesion,,sporulating at the bud
2018-04-11,3,2-row,control,8,1,2.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,3,2-row,control,9,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,control,9,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,3,2-row,control,9,1,30,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,3,2-row,control,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,3,2-row,control,10,1,1.125,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,3,2-row,control,10,1,1.25,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,control,1,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,control,1,1,1.25,lesion later,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,control,1,2,1.75,1.5,no lesion,no lesion,no lesion,,1 new young lesion
2018-02-13,4,2-row,control,2,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,control,2,1,0.25,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,control,2,1,11.75,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,4,2-row,control,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,control,3,1,0.25,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,control,3,1,3,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,control,4,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,control,4,2,1.625,1,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,control,4,2,2,1.375,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,control,5,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,control,5,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,4,2-row,control,5,1,4.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,control,6,1,5.25,no lesion,no lesion,no lesion,no lesion,above twine,on twine 2
2018-03-13,4,2-row,control,6,1,11.875,no lesion,no lesion,no lesion,no lesion,above twine,
2018-04-11,4,2-row,control,6,.,.,no lesion,no lesion,no lesion,no lesion,above twine tag missing,cant find tag
2018-02-13,4,2-row,control,7,1,1.25,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,4,2-row,control,7,1,1.25,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,control,7,1,1.375,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,control,8,1,1.125,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,4,2-row,control,8,1,2.875,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,control,8,1,2.75,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,control,9,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,control,9,1,1.75,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,control,9,1,1.625,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,4,2-row,control,10,0,lesion later,lesion later,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,4,2-row,control,10,2,1.75,1.625,no lesion,no lesion,no lesion,,
2018-04-11,4,2-row,control,10,2,17,merged,no lesion,no lesion,no lesion,merged with ground lesion n_lesions revised to prev,previous lesions merged together and merged with the ground lesion
2018-02-13,5,2-row,control,1,1,1.125,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,5,2-row,control,1,1,1.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,5,2-row,control,1,1,1.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,5,2-row,control,2,1,1.5,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,5,2-row,control,2,1,1.25,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,5,2-row,control,2,1,1.75,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,5,2-row,control,3,0,lesion later,lesion later,lesion later,no lesion,no lesion,no data now yes later,
2018-03-13,5,2-row,control,3,3,4.75,0.5,1.125,no lesion,no lesion,,
2018-04-11,5,2-row,control,3,3,12,2,1.75,no lesion,no lesion,merged with ground lesion,The longest lesion merged with the ground lesion
